From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)
UBIQP_HORVU	P0CG83	UBIQP_HORVU	Polyubiquitin [Cleaved into: Ubiquitin]		Hordeum vulgare (Barley)	171	FUNCTION: Ubiquitin exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-6-linked may be involved in DNA repair; Lys-11-linked is involved in ERAD (endoplasmic reticulum-associated degradation) and in cell-cycle regulation; Lys-29-linked is involved in lysosomal degradation; Lys-33-linked is involved in kinase modification; Lys-48-linked is involved in protein degradation via the proteasome; Lys-63-linked is involved in endocytosis, DNA-damage responses as well as in signaling processes leading to activation of the transcription factor NF-kappa-B. Linear polymer chains formed via attachment by the initiator Met lead to cell signaling. Ubiquitin is usually conjugated to Lys residues of target proteins, however, in rare cases, conjugation to Cys or Ser residues has been observed. When polyubiquitin is free (unanchored-polyubiquitin), it also has distinct roles, such as in activation of protein kinases, and in signaling (By similarity). {ECO:0000250}.				cytoplasm [GO:0005737]; nucleus [GO:0005634]; mRNA binding [GO:0003729]
UBL5_ARATH	Q9FGZ9	UBL5_ARATH	Ubiquitin-like protein 5	UBL5 At5g42300 K5J14.10	Arabidopsis thaliana (Mouse-ear cress)	73					cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein tag [GO:0031386]; mRNA splicing, via spliceosome [GO:0000398]; protein modification process [GO:0036211]; RNA splicing [GO:0008380]
UBQ11_ARATH	P0CH33	UBQ11_ARATH	Polyubiquitin 11 [Cleaved into: Ubiquitin]	UBQ11 At4g05050 C17L7.6 T32N4.13	Arabidopsis thaliana (Mouse-ear cress)	229	FUNCTION: Ubiquitin exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-11-linked is involved in ERAD (endoplasmic reticulum-associated degradation) and in cell-cycle regulation; Lys-29-linked is involved in lysosomal degradation; Lys-33-linked is involved in kinase modification; Lys-48-linked is involved in protein degradation via the proteasome; Lys-63-linked is involved in endocytosis, and DNA-damage responses. Linear polymer chains formed via attachment by the initiator Met lead to cell signaling. Ubiquitin is usually conjugated to Lys residues of target proteins, however, in rare cases, conjugation to Cys or Ser residues has been observed. When polyubiquitin is free (unanchored-polyubiquitin), it also has distinct roles, such as in activation of protein kinases, and in signaling (By similarity). {ECO:0000250}.				cytosol [GO:0005829]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; protein tag [GO:0031386]; ubiquitin protein ligase binding [GO:0031625]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
VATD_ARATH	Q9XGM1	VATD_ARATH	V-type proton ATPase subunit D (V-ATPase subunit D) (Vacuolar H(+)-ATPase subunit D) (Vacuolar proton pump subunit D)	VHA-D VATD VATPD At3g58730 T20N10_80	Arabidopsis thaliana (Mouse-ear cress)	261	FUNCTION: Subunit of the peripheral V1 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system (By similarity). {ECO:0000250}.				cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]; proton-transporting V-type ATPase complex [GO:0033176]; vacuolar membrane [GO:0005774]; vacuole [GO:0005773]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
VCL21_ARATH	F4IQK5	VCL21_ARATH	Vicilin-like seed storage protein At2g18540 (Globulin At2g18540)	At2g18540 F24H14.11	Arabidopsis thaliana (Mouse-ear cress)	707	FUNCTION: Seed storage protein. {ECO:0000305}.				
Y2766_ARATH	O80934	Y2766_ARATH	Uncharacterized protein At2g37660, chloroplastic	At2g37660 F13M22.16	Arabidopsis thaliana (Mouse-ear cress)	325					apoplast [GO:0048046]; chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; endoplasmic reticulum [GO:0005783]; thylakoid [GO:0009579]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]
YCF2_PANGI	Q68RU4	YCF2_PANGI	Protein Ycf2	ycf2-A PSC0883; ycf2-B PSC1477	Panax ginseng (Korean ginseng)	2110	FUNCTION: Probable ATPase of unknown function. Its presence in a non-photosynthetic plant (Epifagus virginiana) and experiments in tobacco indicate that it has an essential function which is probably not related to photosynthesis.				chloroplast stroma [GO:0009570]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
YCF2_SOLTU	Q27RY7	YCF2_SOLTU	Protein Ycf2	ycf2-A; ycf2-B	Solanum tuberosum (Potato)	2278	FUNCTION: Probable ATPase of unknown function. Its presence in a non-photosynthetic plant (Epifagus virginiana) and experiments in tobacco indicate that it has an essential function which is probably not related to photosynthesis.				chloroplast stroma [GO:0009570]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
YCF3_JASNU	Q06RC8	YCF3_JASNU	Photosystem I assembly protein Ycf3	ycf3 JNC0481	Jasminum nudiflorum (Winter jasmine)	168	FUNCTION: Essential for the assembly of the photosystem I (PSI) complex. May act as a chaperone-like factor to guide the assembly of the PSI subunits. {ECO:0000255|HAMAP-Rule:MF_00439}.				chloroplast thylakoid membrane [GO:0009535]; photosynthesis [GO:0015979]
YCF3_LACSA	Q1KXM2	YCF3_LACSA	Photosystem I assembly protein Ycf3	ycf3	Lactuca sativa (Garden lettuce)	168	FUNCTION: Essential for the assembly of the photosystem I (PSI) complex. May act as a chaperone-like factor to guide the assembly of the PSI subunits. {ECO:0000255|HAMAP-Rule:MF_00439}.				chloroplast thylakoid membrane [GO:0009535]; photosynthesis [GO:0015979]
YCF3_NANDO	Q09FW0	YCF3_NANDO	Photosystem I assembly protein Ycf3	ycf3	Nandina domestica (Heavenly bamboo)	168	FUNCTION: Essential for the assembly of the photosystem I (PSI) complex. May act as a chaperone-like factor to guide the assembly of the PSI subunits. {ECO:0000255|HAMAP-Rule:MF_00439}.				chloroplast thylakoid membrane [GO:0009535]; photosynthesis [GO:0015979]
YCF68_ORYNI	Q6ENB7	YCF68_ORYNI	Uncharacterized protein ycf68 (ORF133)	ycf68-1; ycf68-2	Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)	133					chloroplast [GO:0009507]; plastid [GO:0009536]
YCX91_PHAAO	Q3BAI2	YCX91_PHAAO	Uncharacterized protein ORF91		Phalaenopsis aphrodite subsp. formosana (Moth orchid)	91					chloroplast [GO:0009507]
YLS8_ARATH	Q9FE62	YLS8_ARATH	Thioredoxin-like protein YLS8 (Protein YELLOW-LEAF-SPECIFIC GENE 8)	YLS8 At5g08290 F8L15.20	Arabidopsis thaliana (Mouse-ear cress)	142			DEVELOPMENTAL STAGE: Up-regulated in leaves during natural senescence. {ECO:0000269|PubMed:11230571}.	TISSUE SPECIFICITY: Expressed in roots, leaves, stems, cauline leaves and flowers. {ECO:0000269|PubMed:11230571}.	cytoplasm [GO:0005737]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; mRNA splicing, via spliceosome [GO:0000398]
ZDS_SOLLC	Q9SE20	ZDS_SOLLC	Zeta-carotene desaturase, chloroplastic/chromoplastic (EC 1.3.5.6) (9,9'-di-cis-zeta-carotene desaturase) (Carotene 7,8-desaturase)	ZDS	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	588	FUNCTION: Catalyzes the conversion of zeta-carotene to lycopene via the intermediary of neurosporene. It carries out two consecutive desaturations (introduction of double bonds) at positions C-7 and C-7'.	PATHWAY: Carotenoid biosynthesis; lycopene biosynthesis.			chloroplast [GO:0009507]; chromoplast [GO:0009509]; 7,9,9'-tricis-neurosporene:quinone oxidoreductase activity [GO:0052887]; 9,9'-dicis-carotene:quinone oxidoreductase activity [GO:0052886]; carotene 7,8-desaturase activity [GO:0016719]; 9,9'-di-cis-zeta-carotene desaturation to 7,9,7',9'-tetra-cis-lycopene [GO:0052889]; carotene biosynthetic process [GO:0016120]; carotenoid biosynthetic process [GO:0016117]; lycopene biosynthetic process [GO:1901177]
ZDS_TARER	Q9FV46	ZDS_TARER	Zeta-carotene desaturase, chloroplastic/chromoplastic (EC 1.3.5.6) (9,9'-di-cis-zeta-carotene desaturase) (Carotene 7,8-desaturase)		Tagetes erecta (African marigold)	587	FUNCTION: Catalyzes the conversion of zeta-carotene to lycopene via the intermediary of neurosporene. It carries out two consecutive desaturations (introduction of double bonds) at positions C-7 and C-7' (By similarity). {ECO:0000250}.	PATHWAY: Carotenoid biosynthesis; lycopene biosynthesis.			chloroplast [GO:0009507]; chromoplast [GO:0009509]; 7,9,9'-tricis-neurosporene:quinone oxidoreductase activity [GO:0052887]; 9,9'-dicis-carotene:quinone oxidoreductase activity [GO:0052886]; carotene 7,8-desaturase activity [GO:0016719]; carotenoid biosynthetic process [GO:0016117]
ZRK7_ARATH	F4J3H7	ZRK7_ARATH	Serine/threonine-protein kinase ZRK7 (EC 2.7.11.1)	ZRK7 At3g57770 F15B8.40	Arabidopsis thaliana (Mouse-ear cress)	269					plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; cell surface receptor signaling pathway [GO:0007166]; protein phosphorylation [GO:0006468]
