From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)	Gene Ontology IDs
MGL_ARATH	Q9SGU9	MGL_ARATH	Methionine gamma-lyase (AtMGL) (EC 4.4.1.11) (L-methioninase)	MGL At1g64660 F1N19.23	Arabidopsis thaliana (Mouse-ear cress)	441	FUNCTION: Catalyzes the degradation of L-methionine to alpha-ketobutyrate, methanethiol and ammonia. Exhibits a high activity toward L-methionine, L-ethionine, L-homocysteine and seleno-L-methionine, but not L-cysteine. Involved in an alternative cysteine biosynthesis pathway to the reverse trans-sulfuration pathway (methionine->homocysteine->cystathionine->cysteine) in which methanethiol is an intermediate. Mediates also an alternative isoleucine biosynthesis pathway in which 2-ketobutyrate is an intermediate. {ECO:0000269|PubMed:17169919, ECO:0000269|PubMed:19571310}.			TISSUE SPECIFICITY: Expressed in roots, stems, siliques, leaves, flowers and seeds after imbibition (at protein level). Transcripts accumulate in dry mature seeds, but at protein level, only present upon imbibition. {ECO:0000269|PubMed:17030798, ECO:0000269|PubMed:17169919}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; carbon-sulfur lyase activity [GO:0016846]; methionine gamma-lyase activity [GO:0018826]; pyridoxal phosphate binding [GO:0030170]; cellular response to sulfate starvation [GO:0009970]; cellular response to water deprivation [GO:0042631]; methionine catabolic process via 2-oxobutanoate [GO:0019458]; protein homotetramerization [GO:0051289]; transsulfuration [GO:0019346]	GO:0005737; GO:0005829; GO:0009970; GO:0016846; GO:0018826; GO:0019346; GO:0019458; GO:0030170; GO:0042631; GO:0051289
BALDH_ANTMA	C7A2A0	BALDH_ANTMA	Benzaldehyde dehydrogenase, mitochondrial (EC 1.2.1.28) (2-phenylacetaldehyde dehydrogenase) (EC 1.2.1.39) (Acetaldehyde dehydrogenase) (EC 1.2.1.3)	BALDH	Antirrhinum majus (Garden snapdragon)	534	FUNCTION: Component of the floral volatile benzenoid/phenylpropanoid (FVBP) biosynthetic pathway (PubMed:19292760). Catalyzes the oxidation of benzaldehyde to benzoic acid (BA) (PubMed:19292760). Capable of oxidizing a broad spectrum of aliphatic aldehydes; increased carbon chain length results in a decrease in its efficiency (PubMed:19292760). {ECO:0000269|PubMed:19292760}.	PATHWAY: Aromatic compound metabolism. {ECO:0000269|PubMed:19292760}.	DEVELOPMENTAL STAGE: In corollas, accumulates progressively during flower development, from buds to anthesis, with a peak at flower opening, but fades out in senescing flowers. {ECO:0000269|PubMed:19292760}.	TISSUE SPECIFICITY: Expressed predominantly in the upper and lower flower petal lobes, and, at low levels, in flower tubes, pistils, stamens and sepals. {ECO:0000269|PubMed:19292760}.	mitochondrion [GO:0005739]; acetaldehyde dehydrogenase (acetylating) activity [GO:0008774]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; benzaldehyde dehydrogenase (NAD+) activity [GO:0018479]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity [GO:0043878]; phenylacetaldehyde dehydrogenase activity [GO:0008957]; circadian rhythm [GO:0007623]; green leaf volatile biosynthetic process [GO:0010597]	GO:0004029; GO:0005739; GO:0007623; GO:0008774; GO:0008957; GO:0010597; GO:0018479; GO:0043878
CAS1_ARATH	P38605	CAS1_ARATH	Cycloartenol synthase (AtCYC) (EC 5.4.99.8) (2,3-epoxysqualene--cycloartenol cyclase)	CAS1 CYC At2g07050 T4E14.16	Arabidopsis thaliana (Mouse-ear cress)	759	FUNCTION: Converts oxidosqualene to cycloartenol and 1% parkeol. Involved in plastid biogenesis. Essential for the male gametophyte function. {ECO:0000269|PubMed:18287026, ECO:0000269|PubMed:7505443}.			TISSUE SPECIFICITY: Expressed in roots, stems, leaves, inflorescences and siliques. {ECO:0000269|PubMed:16531458}.	lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; plant-type vacuole [GO:0000325]; vacuole [GO:0005773]; cycloartenol synthase activity [GO:0016871]; pentacyclic triterpenoid biosynthetic process [GO:0019745]; pollen development [GO:0009555]; thylakoid membrane organization [GO:0010027]	GO:0000325; GO:0005739; GO:0005773; GO:0005811; GO:0009555; GO:0010027; GO:0016871; GO:0019745
AROD3_PETHY	D3U717	AROD3_PETHY	Arogenate dehydratase 3 (PhADT3) (EC 4.2.1.91) (Prephenate dehydratase ADT3) (EC 4.2.1.51)	ADT3	Petunia hybrida (Petunia)	434	FUNCTION: Converts the prephenate and L-arogenate produced from the shikimate-chorismate pathway into 3-phenylpyruvate and phenylalanine (Phe), respectively (PubMed:20215586). Involved in floral volatile benzenoids and phenylpropanoids (FVBP) production (By similarity). {ECO:0000250|UniProtKB:D3U715, ECO:0000269|PubMed:20215586}.	PATHWAY: Amino-acid biosynthesis; L-phenylalanine biosynthesis; L-phenylalanine from L-arogenate: step 1/1. {ECO:0000269|PubMed:20215586}.	DEVELOPMENTAL STAGE: Expressed, at low levels, throughout flower development (PubMed:20215586). In corollas, accumulates progressively during flower development, from buds to anthesis (PubMed:20215586). {ECO:0000269|PubMed:20215586}.	TISSUE SPECIFICITY: Expressed at low levels in petals (corollas and tubes), stems, leaves, pistils, stamens, ovaries and sepals. {ECO:0000269|PubMed:20215586}.	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; arogenate dehydratase activity [GO:0047769]; prephenate dehydratase activity [GO:0004664]; L-phenylalanine biosynthetic process [GO:0009094]	GO:0004664; GO:0009094; GO:0009507; GO:0009570; GO:0047769
NFYB3_ARATH	O23310	NFYB3_ARATH	Nuclear transcription factor Y subunit B-3 (AtNF-YB-3) (AtNF-YB3) (Transcriptional activator HAP3C)	NFYB3 HAP3C At4g14540 dl3310w FCAALL.252	Arabidopsis thaliana (Mouse-ear cress)	161	FUNCTION: Component of the NF-Y/HAP transcription factor complex (By similarity). The NF-Y complex stimulates the transcription of various genes by recognizing and binding to a CCAAT motif in promoters (By similarity). Promotes the expression of heat stress-inducible genes by contributing to the formation of a heat stress-specific transcriptional complex with NF-Y subunits (e.g. DPB3-1, NF-YA2 and NF-YB3) and DREB2A at the promoter of target genes, thus promoting heat tolerance (PubMed:25490919). {ECO:0000250|UniProtKB:Q84W66, ECO:0000269|PubMed:25490919}.		DEVELOPMENTAL STAGE: In seedlings, first expressed in petioles and leaf blades of the cotyledons as well as tops and bottoms of the hypocotyls. {ECO:0000269|PubMed:25490919}.	TISSUE SPECIFICITY: Ubiquitous (PubMed:11250072). Expressed in seedlings, petioles, hypocotyls, reproductive organ tissues and leaves (PubMed:25490919). {ECO:0000269|PubMed:11250072, ECO:0000269|PubMed:25490919}.	CCAAT-binding factor complex [GO:0016602]; cytosol [GO:0005829]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein heterodimerization activity [GO:0046982]; sequence-specific DNA binding [GO:0043565]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]; response to heat [GO:0009408]; response to water deprivation [GO:0009414]	GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0005829; GO:0006357; GO:0009408; GO:0009414; GO:0016602; GO:0043565; GO:0045893; GO:0046982
AX15A_SOYBN	P33081	AX15A_SOYBN	Auxin-induced protein 15A		Glycine max (Soybean) (Glycine hispida)	82					auxin-activated signaling pathway [GO:0009734]	GO:0009734
KIRO_ACTDE	P85524	KIRO_ACTDE	Kirola (allergen Act d 11)		Actinidia deliciosa (Kiwi)	150					activation of immune response [GO:0002253]; defense response [GO:0006952]	GO:0002253; GO:0006952
14KD_DAUCA	P14009	14KD_DAUCA	14 kDa proline-rich protein DC2.15		Daucus carota (Wild carrot)	137	FUNCTION: May be connected with the initiation of embryogenesis or with the metabolic changes produced by the removal of auxins.		DEVELOPMENTAL STAGE: Transiently expressed during early embryogenesis.		membrane [GO:0016020]	GO:0016020
CCDP_MAIZE	Q01595	CCDP_MAIZE	Cortical cell-delineating protein (Root-specific protein ZRP3)		Zea mays (Maize)	129	FUNCTION: Delineates a novel subset of developing cortical cells. It is probably involved in some aspect of transport of molecules to or from the vasculature.			TISSUE SPECIFICITY: Cortical ground meristem of developing roots.		
PER41_ARATH	O23609	PER41_ARATH	Peroxidase 41 (Atperox P41) (EC 1.11.1.7)	PER41 P41 At4g17690 dl4880w FCAALL.96	Arabidopsis thaliana (Mouse-ear cress)	326	FUNCTION: Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress. These functions might be dependent on each isozyme/isoform in each plant tissue.				extracellular region [GO:0005576]; heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872; GO:0140825
PER63_ARATH	Q9FL16	PER63_ARATH	Peroxidase 63 (Atperox P63) (EC 1.11.1.7) (ATP26a)	PER63 P63 At5g40150 MSN9.5 MSN9.50	Arabidopsis thaliana (Mouse-ear cress)	328	FUNCTION: Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress. These functions might be dependent on each isozyme/isoform in each plant tissue.				extracellular region [GO:0005576]; heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872; GO:0140825
IAA14_ARATH	Q38832	IAA14_ARATH	Auxin-responsive protein IAA14 (Indoleacetic acid-induced protein 14) (Protein SOLITARY ROOT)	IAA14 SLR1 At4g14550 dl3315c FCAALL.254	Arabidopsis thaliana (Mouse-ear cress)	228	FUNCTION: Aux/IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations. Repression is thought to result from the interaction with auxin response factors (ARFs), proteins that bind to the auxin-responsive promoter element (AuxRE). Formation of heterodimers with ARF proteins may alter their ability to modulate early auxin response genes expression. {ECO:0000269|PubMed:12036262}.			TISSUE SPECIFICITY: Preferentially expressed in roots and flowers. {ECO:0000269|PubMed:7658471}.	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; auxin-activated signaling pathway [GO:0009734]; lateral root morphogenesis [GO:0010102]; negative regulation of DNA-templated transcription [GO:0045892]; response to auxin [GO:0009733]	GO:0000976; GO:0003700; GO:0005634; GO:0009733; GO:0009734; GO:0010102; GO:0045892
TIP21_ARATH	Q41951	TIP21_ARATH	Aquaporin TIP2-1 (Delta-tonoplast intrinsic protein) (Delta-TIP) (Tonoplast intrinsic protein 2-1) (AtTIP2;1) [Cleaved into: Aquaporin TIP2-1, N-terminally processed]	TIP2-1 At3g16240 MYA6.10	Arabidopsis thaliana (Mouse-ear cress)	250	FUNCTION: Aquaporin required to facilitate the transport of water from the vacuolar compartment to the cytoplasm. Does not promote glycerol permeability. Its function is impaired by Hg(2+). Transports urea in yeast cells and Xenopus laevis oocytes in a pH-independent manner. Transports methylammonium or ammonium in yeast cells and Xenopus laevis oocytes, preferentially at high medium pH. May participate in vacuolar compartmentation and detoxification of ammonium. {ECO:0000269|PubMed:14576283, ECO:0000269|PubMed:15665250, ECO:0000269|PubMed:8624437}.		DEVELOPMENTAL STAGE: Starts to be expressed in seedlings from 2 days ays after germination. {ECO:0000269|PubMed:14576283}.	TISSUE SPECIFICITY: Strongly expressed in shoot, rosette, bolt and flowers. Also expressed in roots, flower buds and above ground. {ECO:0000269|PubMed:11806824, ECO:0000269|PubMed:8624437}.	central vacuole [GO:0042807]; chloroplast envelope [GO:0009941]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; plant-type cell wall [GO:0009505]; plant-type vacuole [GO:0000325]; plant-type vacuole membrane [GO:0009705]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; protein storage vacuole [GO:0000326]; identical protein binding [GO:0042802]; methylammonium transmembrane transporter activity [GO:0015200]; water channel activity [GO:0015250]; water transport [GO:0006833]	GO:0000325; GO:0000326; GO:0005794; GO:0005886; GO:0006833; GO:0009505; GO:0009506; GO:0009705; GO:0009941; GO:0015200; GO:0015250; GO:0016020; GO:0042802; GO:0042807
XTH24_ARATH	P24806	XTH24_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 24 (At-XTH24) (XTH-24) (EC 2.4.1.207) (Endo-xyloglucan transferase) (Meristem protein 5) (MERI-5 protein) (MERI5 protein) (Xyloglucan endo-1,4-beta-D-glucanase)	XTH24 MERI-5 MERI5B SEN4 At4g30270 F9N11.120	Arabidopsis thaliana (Mouse-ear cress)	269	FUNCTION: Catalyzes xyloglucan endohydrolysis (XEH) and/or endotransglycosylation (XET). Cleaves and religates xyloglucan polymers, an essential constituent of the primary cell wall, and thereby participates in cell wall construction of growing tissues. May be required during development to modify the walls of cells under mechanical stress.			TISSUE SPECIFICITY: Highly expressed. Predominantly expressed in stems. Expressed in shoot apical meristems, also found in seedlings and meristems. {ECO:0000269|PubMed:11673616, ECO:0000269|PubMed:1840916}.	apoplast [GO:0048046]; cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; plant-type cell wall [GO:0009505]; plasma membrane [GO:0005886]; secretory vesicle [GO:0099503]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; polysaccharide binding [GO:0030247]; xyloglucan:xyloglucosyl transferase activity [GO:0016762]; cell wall biogenesis [GO:0042546]; plant-type cell wall loosening [GO:0009828]; plant-type cell wall organization or biogenesis [GO:0071669]; xyloglucan metabolic process [GO:0010411]	GO:0004553; GO:0005737; GO:0005794; GO:0005886; GO:0009505; GO:0009828; GO:0010411; GO:0016762; GO:0030247; GO:0042546; GO:0048046; GO:0071669; GO:0099503
POLX_TOBAC	P10978	POLX_TOBAC	Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]		Nicotiana tabacum (Common tobacco)	1328					aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]; proteolysis [GO:0006508]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0008270; GO:0015074
SAU76_ARATH	Q29PU2	SAU76_ARATH	Auxin-responsive protein SAUR76 (Protein SMALL AUXIN UP RNA 76)	SAUR76 At5g20820	Arabidopsis thaliana (Mouse-ear cress)	127	FUNCTION: May be involved in the regulation of ethylene receptor signaling. Promotes cell expansion and plant growth (Probable). Involved in the regulation of cell elongation (PubMed:24312429). {ECO:0000269|PubMed:24312429, ECO:0000305|PubMed:26207341}.			TISSUE SPECIFICITY: Expressed in cotyledons, hypocotyls and roots of young seedlings. Expressed in emerging lateral root, leaves, flowers, stamens and filaments. {ECO:0000269|PubMed:24312429}.	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ethylene-activated signaling pathway [GO:0009873]; response to auxin [GO:0009733]	GO:0005634; GO:0005737; GO:0005886; GO:0009733; GO:0009873
TBA3_ARATH	Q56WH1	TBA3_ARATH	Tubulin alpha-3 chain (EC 3.6.5.-)	TUBA3 TUA3 At5g19770 T29J13.190	Arabidopsis thaliana (Mouse-ear cress)	450	FUNCTION: Tubulin is the major constituent of microtubules, a cylinder consisting of laterally associated linear protofilaments composed of alpha- and beta-tubulin heterodimers. Microtubules grow by the addition of GTP-tubulin dimers to the microtubule end, where a stabilizing cap forms. Below the cap, tubulin dimers are in GDP-bound state, owing to GTPase activity of alpha-tubulin.				cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017; GO:0016787; GO:0046872
TRN2_HYONI	P50164	TRN2_HYONI	Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)	TR2	Hyoscyamus niger (Black henbane)	260	FUNCTION: Catalyzes the stereospecific reduction of tropinone to pseudotropine.	PATHWAY: Alkaloid biosynthesis; tropane alkaloid biosynthesis.			tropinone reductase activity [GO:0050358]; tropane alkaloid biosynthetic process [GO:0009710]	GO:0009710; GO:0050358
TRNH3_ARATH	Q9ZW03	TRNH3_ARATH	Tropinone reductase homolog At2g29150 (EC 1.1.1.-)	At2g29150 F16P2.47	Arabidopsis thaliana (Mouse-ear cress)	268	FUNCTION: Enantiospecific reductase active on cyclic monoterpenes and small flexible lipophilic carbonyls. No activity with tropinone, nitrogen-containing tropinone analogs, tropine or pseudotropine as substrate. {ECO:0000269|PubMed:24583623}.				peroxisome [GO:0005777]; oxidoreductase activity [GO:0016491]	GO:0005777; GO:0016491
TRNH_DATST	P50165	TRNH_DATST	Tropinone reductase homolog (EC 1.1.1.-) (P29X)		Datura stramonium (Jimsonweed) (Common thornapple)	268					oxidoreductase activity [GO:0016491]	GO:0016491
ENDO1_ARATH	Q9SXA6	ENDO1_ARATH	Endonuclease 1 (AtENDO1) (EC 3.1.30.1) (Bifunctional nuclease I) (AtBFN1) (Deoxyribonuclease ENDO1) (Single-stranded-nucleate endonuclease ENDO1)	ENDO1 BFN1 At1g11190 T28P6.14	Arabidopsis thaliana (Mouse-ear cress)	305	FUNCTION: Endonuclease that can use RNA, single-stranded and double-stranded DNA as substrates (PubMed:23620482). Hydrolyzes single-stranded DNA and RNA without apparent specificity for bases during senescence. Endonuclease that recognizes and cleaves all types of mismatches with high efficiency, including heteroduplex double-stranded DNA. Maybe involved in programmed cell death (PCD) and senescence. {ECO:0000269|PubMed:10631260, ECO:0000269|PubMed:17651368, ECO:0000269|PubMed:18603613, ECO:0000269|PubMed:23620482}.		DEVELOPMENTAL STAGE: Present in the margins and tips of the oldest leaves, senescent leaves, differentiating xylem and at the abscission zone of flowers. In flowers, expressed in developing anthers and seeds. Accumulates in stigma, mature anthers, sepals, and petals of older/fully opened flowers. Also present in floral organs after fertilization. In mature siliques, observed in abscission zones and in the distal portion of the valve margins. {ECO:0000269|PubMed:18603613, ECO:0000269|PubMed:23340744}.	TISSUE SPECIFICITY: Mostly expressed in flowers and during leaf and stem senescence, and, to a lower extent, detectable at low levels in roots, leaves, and stems. Particularly expressed in senescing tissues in a NAC92/ORE1-dependent manner. {ECO:0000269|PubMed:10631260, ECO:0000269|PubMed:18603613, ECO:0000269|PubMed:23340744}.	double-stranded DNA endonuclease activity [GO:1990238]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA endonuclease activity [GO:0004521]; RNA endonuclease activity, producing 5'-phosphomonoesters [GO:0016891]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]; T/G mismatch-specific endonuclease activity [GO:0043765]; DNA catabolic process [GO:0006308]; floral organ senescence [GO:0080187]; leaf senescence [GO:0010150]	GO:0000014; GO:0003676; GO:0004519; GO:0004521; GO:0006308; GO:0010150; GO:0016891; GO:0043765; GO:0046872; GO:0080187; GO:1990238
